price,feature1,feature2,feature3
461.5279294,999.7875575,999.7660962,1878.776827
548.1300115,998.8616149,1001.042403,1600.952009
410.2971617,1000.070267,998.8440146,1373.457141
540.3822198,999.9522513,1000.44094,1393.196596
546.0245529,1000.446011,1000.338531,1207.392271
542.9836716,999.6931837,1000.628006,1303.160595
555.4856642,1000.275855,1000.444949,1324.360402
417.5697245,1000.414205,998.8784862,1418.646345
373.1465312,1000.016606,998.4759967,1904.246302
633.3502925,999.9056456,1001.594481,1278.750064
624.2470921,1002.099975,1000.488915,1846.294445
475.3724172,1000.230819,999.5639426,1561.897381
600.3684449,999.7043114,1001.386157,1873.545234
532.8329518,1000.771576,999.9391069,1851.355341
472.8353628,999.3229434,1000.05536,1392.689152
506.312291,1000.379403,999.8292802,1293.104342
508.414406,998.5131313,1000.717756,1446.615444
610.4553519,1001.401115,1000.486593,1074.943854
323.657762,999.6872832,998.1774564,1358.93237
446.2123039,1001.254834,998.7724225,1219.013628
362.122703,998.8064521,998.9567829,1343.881617
433.4106403,1000.003049,999.1431146,1561.573082
562.0025765,1002.107494,999.7774926,1867.942493
637.3096207,1001.158976,1001.077991,1369.118484
522.8080075,999.4912284,1000.545177,1752.018203
469.8028243,1000.43188,999.4286019,1956.930241
543.1099278,1000.131869,1000.409422,1391.270646
565.4341699,999.3470969,1001.019195,1499.183146
530.0328538,1000.22443,1000.276174,1676.250302
610.580165,1000.807135,1000.842706,1568.824921
482.5564119,999.6517092,1000.060011,1229.85586
327.5600405,1000.113307,997.9761287,1995.044718
579.7308387,999.9240058,1000.925726,1965.424866
448.4298147,999.6669627,999.7039947,1334.685479
628.9770919,1000.728214,1001.110462,1963.919338
536.7973722,1001.455217,999.7651198,1376.610168
570.0672954,1000.482472,1000.516819,1549.499645
357.8255752,998.5105327,999.0307696,1184.770651
612.0849273,1001.813058,1000.394032,1920.103545
444.6797085,998.7935419,999.9086071,1736.351075
600.1186364,999.5403586,1001.234607,1324.387483
523.5331278,999.2467276,1000.676065,1499.961396
512.9499449,998.6753741,1000.762461,1380.718918
614.8813169,1001.534269,1000.553784,1501.044027
404.3530325,999.425448,999.1979888,1422.311718
643.6885181,998.9991531,1002.056155,1123.527654
488.956604,1000.076137,999.7775335,1795.926835
443.2046857,1000.98193,998.960122,1345.971026
514.4790664,1000.063325,1000.162987,1376.113156
514.8817406,1001.301579,999.5432241,1062.422401
325.0585222,999.8625558,998.0624364,1308.962496
554.6620585,1001.838608,999.8305876,1692.834598
451.3914,999.0579635,999.888003,1615.472983
587.6788773,1000.75327,1000.557582,1735.655426
477.7374972,1000.344338,999.5603603,1650.952349
574.5156069,1002.024019,999.9199893,1620.972004
548.9107991,999.4084949,1000.866717,1886.137606
528.6908836,1000.149509,1000.324266,1452.236888
443.2110048,1000.902259,998.9526004,1926.927429
397.8820932,997.8444537,999.7955265,1386.81999
355.7953522,1000.274992,998.1414106,1754.208202
460.6947814,999.0544773,1000.051635,1878.553056
534.7673737,999.8703103,1000.497379,1909.183845
537.6067329,1000.594239,1000.145402,1778.369821
603.6699035,1000.700573,1000.874964,1099.787768
547.2757915,999.6680108,1000.729311,1763.198661
567.3086215,1000.758247,1000.420436,1332.589342
454.3290132,999.2551541,999.8739712,1937.564563
492.6045145,999.938544,999.9416332,1238.940089
643.1359318,999.9414995,1001.663869,1651.802684
477.4305163,999.8485753,999.8976686,1531.873122
497.4125184,1001.056767,999.447941,1533.252354
559.0437853,1001.029237,1000.265041,1083.647139
576.6784384,999.7383889,1000.987862,1074.363126
292.1917811,998.2459397,998.4973935,1315.371667
542.9954,1000.283313,1000.378668,1644.33099
547.7319824,1001.969023,999.6666088,1572.817816
507.4343914,1001.011889,999.6121552,1435.312022
408.1220007,1000.613336,998.7117783,1703.662557
595.4334856,999.8728178,1001.076568,1131.474693
463.3552036,999.5566834,999.8619824,1891.709333
468.3569805,999.211524,1000.02219,1528.616857
462.0048019,999.4469816,999.8683984,1957.65769
410.3591241,1000.394052,998.7720952,1563.583073
467.4605955,1000.233928,999.4585838,1179.846256
497.2397861,999.9896921,999.9608924,1798.975292
411.6379446,999.5202044,999.2907578,1948.405481
583.0659841,1001.11463,1000.55781,1977.83622
441.9503669,1000.111219,999.2335257,1054.672372
536.0409092,999.5420017,1000.643309,1228.092655
530.9871744,1000.198451,1000.215985,1238.207218
364.5084209,1000.030227,998.4239215,1731.227074
626.0686517,1000.839965,1000.968725,1863.904345
434.62971,999.8440409,999.3967721,1813.620406
523.023442,1001.275452,999.7036527,1719.489552
484.108809,1000.298882,999.7656303,1702.032256
411.575607,1000.103229,999.0152902,1131.55926
722.2639443,1000.903094,1002.090591,1852.496843
519.4629918,998.3333396,1000.972026,1632.652683
558.5032105,999.801547,1000.728764,1197.265155
526.2429778,1000.854236,999.9105208,1554.382379
531.2775469,999.9109989,1000.409413,1746.160206
470.8906701,1000.556902,999.3544171,1910.95566
459.9249454,999.3711269,999.8305241,1479.600826
577.582985,1000.640067,1000.585566,1883.612816
599.9057314,999.8470523,1001.192904,1922.519978
584.9284376,1000.226556,1000.826203,1726.52638
357.3422339,999.5234411,998.6515692,1276.087505
392.0472687,998.7342755,999.3786878,1610.056482
515.778446,999.2308824,1000.563582,1853.897232
390.2092368,999.6317506,998.9564192,1702.294085
497.4914824,999.5076709,1000.109328,1283.808499
506.7403251,1000.1049,999.9978502,1867.051375
395.5147751,1000.70014,998.6023487,1916.651245
239.6562638,998.8347908,997.5871168,1792.210954
507.6052943,999.5753065,1000.297172,1511.936239
628.8494044,1001.125943,1000.955134,1381.040539
468.0732469,1000.350454,999.4753519,1926.912903
444.9447339,999.8310582,999.4927514,1570.661905
527.317196,1000.255063,1000.163182,1562.209123
415.4429846,998.0990082,999.9020604,1494.000534
363.4303791,1000.790827,998.1214371,1236.456132
591.869092,999.5714736,1001.29792,1786.434697
391.1246666,999.8195316,998.9070808,1601.363306
526.1019196,1000.597063,1000.002677,1666.29987
402.009596,998.2222036,999.6273333,1116.924768
563.6778174,1001.271258,1000.157908,1573.714583
362.2401835,998.309779,999.2808869,1956.795333
514.3134987,1000.973345,999.7052392,1768.339292
322.314352,997.96812,999.0098518,1666.488986
513.519732,999.905711,1000.170229,1672.03797
340.0581421,1000.40554,998.0812781,1459.243409
560.7947178,999.018091,1001.113263,1970.065677
489.7945978,999.0461966,1000.401918,1916.724057
